organization,country_firm
Herrawi Group,Egypt
HSBC Bank Egypt,Egypt
Manufacturing Commercial Vehicles,Egypt
Microsoft Egypt,Egypt
Midwest Airlines,Egypt
Mo'men,Egypt
Nasr,Egypt
National Bank of Egypt,Egypt
Nile Air,Egypt
Nilesat,Egypt
Olympic Group,Egypt
Orange Egypt,Egypt
Orascom Construction,Egypt
Petroleum Air Services,Egypt
SEGAS LNG,Egypt
Shotmed Paper Industries,Egypt
SICO Technology,Egypt
Smart Aviation Company,Egypt
Starworld,Egypt
Suez Canal Container Terminal,Egypt
Suez Steel,Egypt
TA Telecom,Egypt
Talaat Moustafa Group,Egypt
TE Data,Egypt
Telecom Egypt,Egypt
The Egyptian Gazette,Egypt
Travco Group,Egypt
Tristar Air,Egypt
Vodafone Egypt,Egypt
Ahlstrom,Finland
Aktia Bank,Finland
Alma Media,Finland
Altia,Finland
Amer Sports,Finland
Bank of Åland,Finland
Basware,Finland
Bittium,Finland
Cargotec,Finland
Codenomicon,Finland
DNA Oyj,Finland
Eckerö Line,Finland
EKS,Finland
Elisa,Finland
Fazer,Finland
Fingrid,Finland
Finnair,Finland
Finnlines,Finland
Fiskars,Finland
Fortum,Finland
F-Secure,Finland
Hartwall,Finland
Hesburger,Finland
HKScan,Finland
Holvi,Finland
Huhtamäki,Finland
Kemira,Finland
Kemppi,Finland
Kesko,Finland
Kone,Finland
Konecranes,Finland
Kotipizza,Finland
Lemminkäinen Group,Finland
Marimekko,Finland
Metsä Group,Finland
Metso,Finland
Neste,Finland
Nokia,Finland
Nokia Networks,Finland
Nokian Jalkineet,Finland
Nokian Tyres,Finland
Olvi,Finland
OP Financial Group,Finland
Outokumpu,Finland
Outotec,Finland
Patria,Finland
Planmeca,Finland
Pohjolan Voima,Finland
Polar Electro,Finland
Ponsse Corporation,Finland
Posiva,Finland
Pöyry,Finland
Process Vision,Finland
Raisio Group,Finland
Rautaruukki,Finland
Rovio Entertainment,Finland
S Group,Finland
Sampo Group,Finland
Sanoma,Finland
Silja Line,Finland
Sisu Auto,Finland
Solidium,Finland
SSH Communications Security,Finland
St1,Finland
Stenfors,Finland
Stockmann,Finland
Stonesoft Corporation,Finland
Stora Enso,Finland
Suominen Corporation,Finland
Supercell,Finland
Suunto,Finland
Talvivaara Mining Company,Finland
Tieto,Finland
Tikkurila,Finland
UPM-Kymmene,Finland
Vacon,Finland
Vaisala,Finland
Valio,Finland
Valmet Automotive,Finland
Valmet,Finland
Valtra,Finland
Verkkokauppa.com,Finland
Viking Line,Finland
VR,Finland
Wärtsilä,Finland
Woikoski,Finland
YIT,Finland
AccorHotels,France
Aéropostale,France
Aérospatiale-Matra,France
Airbus,France
Alcatel-Lucent,France
Ales Groupe,France
Alstom,France
Altran,France
Amaury Sport Organisation,France
ArianeGroup,France
Arianespace,France
Arkane Studios,France
Astrium,France
AT Internet,France
Atisreal,France
Atos,France
Auchan,France
Axa,France
Babolat,France
Baccarat,France
Banijay Entertainment,France
Banque de l'Indochine,France
Bel Group,France
BNP Paribas,France
Bolloré,France
Bouygues Telecom,France
Bouygues,France
Brittany Ferries,France
Bugatti Automobiles,France
Buzzinbees,France
Canal+,France
Capgemini,France
Carrefour,France
Cartier,France
Celio,France
Chanel,France
Chantelle,France
Christian Dior SE,France
Citroën,France
CMA CGM,France
Com One group,France
Crédit Agricole,France
Crédit Commercial de France,France
Crédit Foncier de France,France
Crédit Lyonnais,France
Criteo,France
Danone,France
Dassault Aviation,France
Dassault Group,France
Dassault Systèmes,France
Decathlon,France
Dexia,France
Diptyque,France
Éditions Philippe Amaury,France
Eisenberg Paris,France
Électricité de France (EDF),France
Elf Aquitaine,France
Elior Group,France
Essilor,France
Eutelsat,France
Fnac,France
Framatome,France
Free,France
Galeries Lafayette,France
Gameloft,France
Gandi,France
Gaumont,France
Genset,France
Getlink,France
Groupe BPCE,France
Groupe Bull,France
Groupe Casino,France
Groupe PSA,France
Hachette,France
Hachette Filipacchi Médias,France
Havas,France
Hermès,France
Hutchinson SA,France
Iliad SA,France
Infogrames,France
JCDecaux,France
Keolis,France
Kering,France
La Poste,France
Laboratoires Pierre Fabre,France
Lacoste,France
Lactalis,France
Lafarge,France
Lafuma,France
Lagardère Group,France
Lancôme,France
Le Zèbre,France
L'Oréal,France
Louis Vuitton,France
LVMH,France
Mandriva,France
Manuloc,France
Maritima Ferries,France
Matra Marconi Space,France
Matra,France
Mavic,France
MC2 France,France
Michelin,France
Microïds,France
Montagut,France
MoonScoop Group,France
Naval Group,France
NicOx,France
Norauto,France
Orange S.A.,France
Orano,France
Oxbow,France
Parrot SA,France
Pathé,France
Pentalog,France
Pernod Ricard,France
Peugeot,France
Publicis,France
Quantic Dream,France
RATP Group,France
Renault,France
Rexel,France
Rhodia,France
Rhône-Poulenc,France
Safran,France
SAGEM,France
Saint-Gobain,France
Salomon Group,France
Sanofi,France
Sanofi,France
Schneider Electric,France
SDV International Logistics,France
Sephora,France
SFR,France
Sigfox,France
SNCF,France
Snecma,France
Société Bic,France
Société Générale,France
Sodexo,France
Sogeti,France
Sopra Steria,France
Suez,France
Technicolor SA,France
Technip,France
TF1 Group,France
Thales Group,France
Thomson-CSF,France
Total S.A.,France
Ubisoft,France
Veolia,France
Vinci SA,France
Vivendi,France
Waterman,France
Yoplait,France
A. Lange & Söhne,Germany
Aareal Bank,Germany
Adidas,Germany
AEG,Germany
Air Berlin,Germany
Aldi,Germany
Allianz,Germany
Alpina,Germany
Altana,Germany
Aral AG,Germany
Arburg,Germany
Arcandor,Germany
Arcor,Germany
Armedangels,Germany
Audi,Germany
August Storck,Germany
Aurubis,Germany
Auto Union,Germany
Axel Springer AG,Germany
B. Braun,Germany
Babelsberg Studio,Germany
Bahlsen,Germany
BASF,Germany
Bavaria Film Studios,Germany
Bayer,Germany
BayWa,Germany
BBS Kraftfahrzeugtechnik,Germany
Bechtle,Germany
Beck's Brewery,Germany
Behr GmbH & Co. KG,Germany
Behringer,Germany
Beiersdorf,Germany
Bellevue Investments,Germany
Benecke-Kaliko,Germany
Bertelsmann,Germany
Beyerdynamic,Germany
Bilfinger,Germany
Birkenstock,Germany
Bitburger Brewery,Germany
Blaupunkt,Germany
Blohm+Voss,Germany
BMG Rights Management,Germany
BMW,Germany
Bodan-Werft,Germany
Boehringer Ingelheim,Germany
BOMAG,Germany
Brabus,Germany
Braun,Germany
Bremer Vulkan,Germany
Brenntag,Germany
Büssing AG,Germany
C. Bechstein,Germany
C. Illies & Co.,Germany
Carl Walther GmbH,Germany
Carl Zeiss AG,Germany
Carl-Zeiss-Stiftung,Germany
Celesio,Germany
Circus Krone,Germany
Claas,Germany
Commerzbank,Germany
Condor Flugdienst,Germany
Continental AG,Germany
Covestro,Germany
Daimler AG,Germany
Dba,Germany
Delton,Germany
Der Spiegel,Germany
Deutsche Bahn,Germany
Deutsche Bank,Germany
Deutsche Börse,Germany
Deutsche Grammophon,Germany
Deutsche Messe,Germany
Deutsche Pfandbriefbank,Germany
Deutsche Post,Germany
Deutsche Telekom,Germany
Deutsche Vermögensberatung,Germany
Deutz AG,Germany
DHL Express,Germany
Dieffenbacher,Germany
Diehl Aerospace,Germany
Diehl Defence,Germany
Diehl Metall,Germany
Diezel,Germany
Djshop,Germany
Dornier Flugzeugwerke,Germany
Douglas Holding,Germany
DOVO Solingen,Germany
Dr. Oetker,Germany
Dräger,Germany
Dresdner Bank,Germany
Dürr AG,Germany
DVB Bank,Germany
E.ON,Germany
Eberhard Faber,Germany
ebm-papst,Germany
edding,Germany
Edeka,Germany
ElringKlinger,Germany
EnBW,Germany
EnOcean,Germany
Entwicklungsring Nord,Germany
Epcos,Germany
E-Plus,Germany
Evonik Industries,Germany
Faber-Castell,Germany
Fein,Germany
Ferrostaal,Germany
Festo,Germany
Fischertechnik,Germany
Fissler,Germany
Focke-Achgelis,Germany
Focke-Wulf,Germany
Fond of Bags,Germany
Ford Germany,Germany
Ford of Europe,Germany
Franz Haniel & Cie.,Germany
Fraport,Germany
Freenet.de,Germany
Fresenius,Germany
Fresenius Medical Care,Germany
Freudenberg Group,Germany
FRoSTA,Germany
Fuchs Petrolub,Germany
Gardena,Germany
GEA Group,Germany
Gebrüder Thonet,Germany
Gerolsteiner Brunnen,Germany
Gerresheimer,Germany
Getrag,Germany
GfK AG,Germany
GPC Biotech,Germany
Grundig,Germany
Gruner + Jahr,Germany
Hama Photo,Germany
Hamburg Süd,Germany
Hamburger Flugzeugbau,Germany
Hannover Re,Germany
Hapag-Lloyd,Germany
Haribo,Germany
Heckler & Koch,Germany
HeidelbergCement,Germany
Heidelberger Druckmaschinen,Germany
Heinkel,Germany
Hella,Germany
Henkel,Germany
Heraeus,Germany
Herrenknecht,Germany
Hochtief,Germany
Hoechst,Germany
Hoesch,Germany
Horváth & Partners,Germany
Howaldtswerke-Deutsche Werft,Germany
Hubert Burda Media,Germany
Hugo Boss,Germany
HypoVereinsbank,Germany
Hypo Real Estate,Germany
IAV,Germany
IG Farben,Germany
Infineon Technologies,Germany
Intershop,Germany
J. A. Henckels,Germany
J. Schmalz,Germany
Jack Wolfskin,Germany
Jenoptik,Germany
Jil Sander,Germany
Junghans,Germany
Junkers,Germany
K+S,Germany
Kärcher,Germany
Kaufland,Germany
Keimfarben,Germany
KfW,Germany
Klöckner & Co SE,Germany
Knorr,Germany
Knorr-Bremse,Germany
Koenig & Bauer,Germany
Körber,Germany
Krauss-Maffei,Germany
Krones,Germany
KSB Company,Germany
KUKA,Germany
Lamy,Germany
Lanxess,Germany
Leica Camera,Germany
Leidolf,Germany
Leoni AG,Germany
Lidl,Germany
Lindauer Dornier,Germany
Linguatec,Germany
Linhof,Germany
Loewe,Germany
Löwenbräu,Germany
LSG Sky Chefs,Germany
LTU International,Germany
Lufthansa,Germany
Lürssen,Germany
Magirus,Germany
Magix,Germany
Mahle GmbH,Germany
MAN,Germany
Mann+Hummel,Germany
Mannesmann,Germany
Mast-Jägermeister,Germany
Meindl,Germany
Meinl Percussion,Germany
Meinl-Weston,Germany
Meissen porcelain,Germany
Melitta,Germany
Mennekes,Germany
Mercedes-AMG,Germany
Mercedes-Benz,Germany
Merck,Germany
Messerschmitt,Germany
Metro AG,Germany
Metz,Germany
Meyer Werft,Germany
Miele,Germany
Montblanc,Germany
Munich Re,Germany
Nemetschek,Germany
Nero AG,Germany
Netto Marken-Discount,Germany
Nordzucker,Germany
NSU Motorenwerke,Germany
Opel,Germany
Orenstein & Koppel,Germany
Osram,Germany
Otto GmbH,Germany
Otto Bock,Germany
Paulaner Brewery,Germany
PCC SE,Germany
Penny,Germany
Philipp Holzmann,Germany
Phoenix Contact,Germany
Plus,Germany
Porsche,Germany
ProSiebenSat.1,Germany
PTV AG,Germany
PUMA,Germany
Putzmeister,Germany
Radeberger Brewery,Germany
Recaro,Germany
Reemtsma,Germany
Rehau Group,Germany
REWE Group,Germany
Rheinmetall,Germany
Rheinmetall Automotive,Germany
Rimowa,Germany
Ritter Sport,Germany
Robert Bosch GmbH,Germany
Rohde & Schwarz,Germany
ROSE Bikes,Germany
RRI Rhein Ruhr International,Germany
RUF Automobile,Germany
RWE,Germany
SABA,Germany
Salzgitter AG,Germany
SAP SE,Germany
Sauer Flugmotorenbau,Germany
Schaeffler Group,Germany
Schaffhausen Communication Group,Germany
Schaller Guitarenparts,Germany
Schering,Germany
Schmitz Cargobull,Germany
Schott AG,Germany
Schwan-Stabilo,Germany
Schwarz Gruppe,Germany
Schwind eye-tech-solutions,Germany
Sebamed,Germany
Seca,Germany
Sennheiser,Germany
Severin Elektro,Germany
SEW Eurodrive,Germany
SGL Carbon,Germany
Siemens,Germany
SIG Sauer,Germany
SimScale,Germany
SkySails,Germany
Smart,Germany
Software AG,Germany
SolarWorld,Germany
Sonor,Germany
Sortimo,Germany
Staedtler,Germany
Steinway & Sons,Germany
Stihl,Germany
Südzucker,Germany
Symrise,Germany
Talanx,Germany
Tchibo,Germany
Telefunken,Germany
Tengelmann Group,Germany
Tente International,Germany
Tetra,Germany
The Linde Group,Germany
ThyssenKrupp,Germany
trivago,Germany
Trumpf,Germany
T-Systems,Germany
TUI Group,Germany
Ulla Popken,Germany
Ultrasone,Germany
Underberg,Germany
United Internet,Germany
Vaude,Germany
Vector Informatik,Germany
Vereinigte Flugtechnische Werke,Germany
Viessmann,Germany
Villeroy & Boch,Germany
Voith,Germany
Volkswagen Group,Germany
Volkswagen,Germany
Vonovia,Germany
Vossloh,Germany
Wacker Chemie,Germany
Wacker Neuson,Germany
WAGO Kontakttechnik,Germany
Warsteiner,Germany
Wella,Germany
Wera Werk Hermann Werner,Germany
Weser Flugzeugbau,Germany
Wilkhahn,Germany
Wintershall,Germany
Wirecard,Germany
Wittenstein,Germany
Wolff & Müller,Germany
Wortmann,Germany
Würth,Germany
Wüsthof,Germany
ZF Friedrichshafen,Germany
Ziehl-Abegg SE,Germany
4E TV,Greece
Abea,Greece
Achaia Clauss,Greece
ADMIE,Greece
Aegean Airlines,Greece
Aegean Marine Petroleum Network Inc.,Greece
Aegean Motorway S.A.,Greece
Aegean Speed Lines,Greece
Aegek SA,Greece
Aeolian Investment Fund S.A.,Greece
Air Mediterranean,Greece
Alfa-Beta Vassilopoulos,Greece
Allatini,Greece
Alpha Bank,Greece
Alpha Records,Greece
Alpha TV,Greece
ALUMIL Aluminium Industry S.A,Greece
Aluminium of Greece,Greece
Amjet Executive,Greece
ANEK Lines,Greece
ANT1 Group,Greece
ANT1,Greece
Arapian,Greece
Arcadia Shipmanagement,Greece
Archirodon,Greece
Atcom,Greece
Athens Exchange,Greece
Athens International Airport S.A.,Greece
Athens-Macedonian News Agency,Greece
Athens Mass Transit System,Greece
Athens Metro,Greece
Atlas Maritime,Greece
Attica Bank,Greece
Attica Group,Greece
Attiki Odos consortium,Greece
Aventurine SA,Greece
Avin International,Greece
Bank of Greece,Greece
Barbastathis,Greece
Bazaar,Greece
 Beat,Greece
Berios,Greece
Bioman,Greece
Black Lotus Records,Greece
Bluebird Airways,Greece
Blueground,Greece
Blue Star Ferries,Greece
Centric Multimedia,Greece
Ceres Hellenic Shipping Enterprises,Greece
CERETETH,Greece
Chalkis Shipyards (Aulida),Greece
Chipita,Greece
Coca-Cola Hellenic Bottling Company,Greece
Coffee Island,Greece
Compupress,Greece
Consolidated Contractors Company,Greece
Cosmote,Greece
Costamare,Greece
Danaos Management Consultants,Greece
DEPA,Greece
DESFA,Greece
Diana,Greece
Digea,Greece
Digital Union,Greece
Dodekanisos Seaways,Greece
DryShips Inc,Greece
EAS,Greece
Egnatia Odos S.A.,Greece
 ELCO,Greece
Epsa,Greece
Elefsis Shipyards,Greece
ELFE,Greece
Ellaktor,Greece
Ellinair,Greece
Energean Oil & Gas,Greece
Open TV,Greece
Eskimo (Feidakis Group),Greece
Estia Newspaper S.A.,Greece
ETEM,Greece
Eurobank Ergasias,Greece
European Reliance,Greece
European Seaways,Greece
Euroseas,Greece
Evga S.A.,Greece
EYDAP,Greece
Fage,Greece
Fast Ferries,Greece
Flocafé,Greece
Finos Film,Greece
Fix Brewery,Greece
Folli Follie,Greece
Forthnet,Greece
Frigoglass,Greece
GainJet Aviation,Greece
Galaxias,Greece
GEK Terna,Greece
Germanos Group,Greece
Golden Star Ferries,Greece
 Goody's Burger House,Greece
Grecotel,Greece
Greek Internet Exchange,Greece
Greek Reporter,Greece
Greek Wine Cellars,Greece
Green Cola Company,Greece
Green Cookie Records,Greece
Haitoglou Bros,Greece
Halyvourgiki Steel,Greece
Heaven Music,Greece
Hellas Sat,Greece
Hellenic Aerospace Industry,Greece
Hellenic Broadcasting Corporation,Greece
Hellenic Civil Aviation Authority,Greece
Hellenic Duty Free Shops,Greece
Hellenic Electricity Distribution Network Operator,Greece
Hellenic Petroleum,Greece
Hellenic Post,Greece
Hellenic Railways Organisation,Greece
Asset Development Fund,Greece
Hellenic Seaplanes,Greece
Hellenic Seaways,Greece
Hellenic Shipyards Co.,Greece
Hellenic Space Organization,Greece
Hellenic Sugar Industry,Greece
Hellenic Vehicle Industry,Greece
Heracles General Cement,Greece
Heron S.A.,Greece
Hondos Center,Greece
Hotel Grande Bretagne,Greece
IANOS,Greece
I Avgi,Greece
Ideal Bikes,Greece
IMC Technologies,Greece
Interbalkan Medical Center,Greece
InternetQ,Greece
Intracom,Greece
Intrakat,Greece
Intralot,Greece
Investment Bank of Greece,Greece
Levante Ferries,Greece
Izola (Dimitriou Group),Greece
Kefalonian Lines,Greece
IQsoft,Greece
Jumbo S.A.,Greece
Karelia Fine Tobaccos,Greece
Kathimerini Publishing S.A ,Greece
Kioleides,Greece
Korres,Greece
Kostoulas,Greece
Kotsovolos,Greece
Kyknos,Greece
LAGIE,Greece
Lambrakis Press Group,Greece
Larco,Greece
Lavipharm,Greece
Levante Ferries,Greece
Libra Group,Greece
Lobby Music,Greece
Loux,Greece
Majestic International Cruises,Greece
Makedonia TV,Greece
Malamatina,Greece
Marfin Investment Group,Greece
MarineTraffic,Greece
Masoutis,Greece
Melissa S.A.,Greece
Metaxa,Greece
Metka,Greece
Metro S.A.,Greece
Mevgal,Greece
Mikel Coffee Company,Greece
Minoan Lines,Greece
Minos Wines,Greece
Misko,Greece
Mythos Brewery,Greece
Minos EMI,Greece
 MLS Innovation S.A.,Greece
Moreas Motorway S.A.,Greece
Motomarine,Greece
Motor Oil Hellas,Greece
Mytilineos Holdings,Greece
Naftemporiki,Greece
Namco,Greece
Natech,Greece
National Bank of Greece,Greece
Navios Maritime Holdings,Greece
Neorion,Greece
Mega Channel,Greece
Nipponia,Greece
National Hellenic Research Foundation,Greece
Nick Silver Pickups,Greece
Ocean Rig,Greece
Olympia Odos consortium,Greece
Olympic Air,Greece
Olympos,Greece
Olympus Airways,Greece
OPAP,Greece
Optima bank,Greece
Orange2Fly,Greece
Orient Bikes,Greece
OTE,Greece
OTEGlobe,Greece
Ouzo Plomari,Greece
Papadopoulos,Greece
Papastratos,Greece
Parachute Type foundry,Greece
PAS Giannina F.C.,Greece
Peiraiki,Greece
Petropoulos A.E.B.E.,Greece
Piraeus Bank,Greece
Pouliadis Associates Corporation,Greece
Prapopoulos Bros s.a.,Greece
Profile Systems and Software,Greece
Prometheus Gas,Greece
Proton,Greece
Psichogios Publications,Greece
Public Power Corporation,Greece
Pyramis,Greece
RAM Europe,Greece
RCH,Greece
 Research Acad. Computer Tech. Institute,Greece
Brink's,Greece
ROAR! Rock of Angels Records,Greece
 Rokas Constructions S.A.,Greece
Santorini Brewing Company,Greece
Saracakis,Greece
Seajets,Greece
SEKA,Greece
 Sergal,Greece
Sfakianakis,Greece
Skai Group,Greece
 Sky Express,Greece
Sleaszy Rider Records,Greece
Social Insurance Institute,Greece
Softex,Greece
Space Internetworking Center,Greece
Spinalonga Records,Greece
St. Catherine's British School,Greece
Star Channel,Greece
 State Aircraft Factory,Greece
Superfast Ferries,Greece
Temax,Greece
Terkenlis,Greece
Terna Energy,Greece
The Spicy Effect,Greece
Thessaloniki Metro,Greece
Thessaloniki Waterbus,Greece
Theon Sensors,Greece
Titan Cement,Greece
TrainOSE,Greece
Tropical,Greece
Tsantali,Greece
Variety Cruises,Greece
Ventouris Ferries,Greece
Vianex S.A.,Greece
Viohalco,Greece
Viva Services,Greece
Vivartia,Greece
Vodafone Greece,Greece
Watt+Volt,Greece
WIND Hellas,Greece
Zante Ferries,Greece
ASL Airlines Hungary,Hungary
Association of Hungarian Record Companies,Hungary
Balabit,Hungary
BKV Zrt.,Hungary
Borsod Brewery,Hungary
BorsodChem,Hungary
Budapest Aircraft Service,Hungary
CBA,Hungary
AMC Networks International Central Europe,Hungary
CIB Bank,Hungary
Cinema City Hungary,Hungary
CityLine Hungary,Hungary
CLS Music,Hungary
Corvin Film,Hungary
Corvus Hungary,Hungary
Csepel,Hungary
Danubius Hotels Group,Hungary
Digital Reality,Hungary
Dreher Brewery,Hungary
Emfesz,Hungary
Fegyver- és Gépgyár,Hungary
FHB Mortgage Bank,Hungary
Ganz Works,Hungary
Richter Gedeon Co.,Hungary
Gramy Records,Hungary
Graphisoft,Hungary
Gundel,Hungary
Győri Keksz,Hungary
Hálózat TV,Hungary
Hell Energy,Hungary
Herend Porcelain Manufactory,Hungary
Hungarian National Bank,Hungary
Hungarian State Railways,Hungary
Hungaroton,Hungary
Hunnia Film Studio,Hungary
Ikarus Bus,Hungary
International Training Center for Bankers,Hungary
Invictus Games,Hungary
IP Systems,Hungary
iWiW,Hungary
K&H Bank,Hungary
Lehel,Hungary
Magyar Posta,Hungary
Magyar Telekom,Hungary
MAL Hungarian Aluminium,Hungary
Malév,Hungary
Match,Hungary
MKB Bank,Hungary
MOL Group,Hungary
MTVA,Hungary
MVK Zrt.,Hungary
MVM Group,Hungary
NeocoreGames,Hungary
Oncotherm,Hungary
Organica Technologies,Hungary
Orion Electronics,Hungary
OTP Bank,Hungary
Pannon,Hungary
Pannonia Film Studio,Hungary
Panrusgáz,Hungary
Pécs Brewery,Hungary
Pick Szeged,Hungary
Prezi,Hungary
Puli Space Technologies,Hungary
Rába,Hungary
Scarab Research,Hungary
State Printing Company,Hungary
Szerencsejáték Zrt.,Hungary
Takarékbank,Hungary
ThalesNano,Hungary
Tisza Cipő,Hungary
Törley,Hungary
Travel Service,Hungary
TriGránit,Hungary
Tungsram,Hungary
Turner Broadcasting System Hungary,Hungary
UPC Magyarország,Hungary
Videoton,Hungary
VirusBuster,Hungary
Vodafone Hungary,Hungary
Wizz Air,Hungary
Zen Studios,Hungary
Zsolnay,Hungary
Zwack,Hungary
Aban Offshore,India
ABG Shipyard,India
ABP Group,India
ACC Limited,India
Action Group,India
Adani Group,India
Aditya Birla Group,India
Ador Group,India
Air Costa,India
Air Odisha,India
Air India,India
Air India Express,India
Amartex,India
Ambuja Cements,India
Amrutanjan Healthcare,India
Amul,India
Apollo Hospitals,India
Apollo Tyres,India
Aptech,India
Archies,India
Arise India,India
Arvind,India
Ashok Leyland,India
Asia MotorWorks,India
Asian Paints Ltd,India
Avantha Group,India
Axis Bank,India
Bajaj Auto,India
Bajaj Group,India
Balaji Group,India
Balaji Telefilms,India
Ballarpur Industries Limited,India
Bank of Baroda,India
Bank of India,India
Bank of Maharashtra,India
BGR Energy Systems Ltd,India
Bharat Aluminium Company,India
Bharat Dynamics Limited,India
Bharat Earth Movers,India
Bharat Electronics Limited,India
Bharat Forge,India
Bharat Heavy Electricals,India
Bharat Petroleum,India
Bharat Sanchar Nigam Limited,India
Bharati Shipyard,India
Bharti Airtel,India
Biocon,India
Boltt,India
Bombay Dyeing,India
Bonn Group of Industries,India
BPL Group,India
Britannia Industries,India
Cadila Healthcare,India
Café Coffee Day,India
Calcutta Tramways Company,India
Canara Bank,India
CaratLane,India
CSB Bank,India
CEAT,India
Celkon,India
Spice Digital,India
Central Bank of India,India
CESC Limited,India
Chennai Petroleum Corporation,India
Cipla,India
City Union Bank,India
CMC,India
Coal India Limited,India
Cochin Shipyard Limited,India
Container Corporation of India,India
Coromandel International,India
Cosmic Circuits,India
Crompton Greaves,India
Cyient,India
Dabur,India
Damodar Valley Corporation,India
Datamatics,India
Deccan Charters,India
Delhi Metro,India
Dempo,India
Dena Bank,India
Dish TV,India
DLF,India
Dr. Reddy's Laboratories,India
Eicher Motors,India
EID Parry,India
Emami,India
Emcure Pharmaceuticals,India
Engineers India,India
English Indian Clays,India
Escorts Group,India
Essar Group,India
Essel Group,India
Eureka Forbes,India
Eveready Industries India,India
Exide Industries,India
Exide Life Insurance,India
Farida Group,India
Federal Bank,India
Fertilisers and Chemicals Travancore Limited (FACT),India
Financial Technologies Group,India
Firstsource,India
Flipkart,India
Force Motors,India
Fortis Healthcare,India
Future Group,India
GAIL,India
Garden Reach Shipbuilders & Engineers,India
Geojit Financial Services,India
Glenmark Pharmaceuticals,India
GMR Group,India
Goa Shipyard,India
GoAir Airlines,India
Godrej Group,India
Great Eastern Shipping,India
Greaves Cotton,India
Gujarat Mineral Development Corporation,India
Gujarat State Petroleum Corporation,India
GVK,India
Haldiram's,India
Hatsun Agro Product,India
Havells,India
Hawkins Cookers,India
HCL Technologies,India
HDFC Bank,India
HDIL,India
Heavy Vehicles Factory,India
Hero Cycles,India
Hero FinCorp,India
Hero MotoCorp,India
Hindalco Industries,India
Hindustan Aeronautics Limited,India
Hindustan Construction Company,India
Hindustan Copper,India
Hindustan Motors,India
Hindustan Petroleum,India
Hindustan Shipyard,India
Hindustan Times,India
Hindustan Zinc,India
HLL Lifecare,India
HMT,India
Housing Development Finance Corporation (HDFC),India
iball,India
ICICI Bank,India
IDBI Bank,India
Idea Cellular,India
Ideal Jawa,India
Infrastructure Development Finance Company (IDFC),India
Infrastructure Leasing & Financial Services (IL&FS),India
India Cements,India
Indiabulls,India
Indian Bank,India
Indian Express Limited,India
Indian Oil Corporation,India
Indian Overseas Bank,India
Indian Railways,India
Indian Register of Shipping,India
Indian Telephone Industries Limited,India
IndiGo,India
Indo Gulf Fertilisers,India
IndusInd Bank,India
Infibeam,India
Infosys,India
Infosys BPO,India
InMobi,India
Intelenet Global Services,India
Intex Technologies,India
ITC,India
Ittiam Systems,India
Jabong.com,India
Jain Irrigation Systems,India
Jaypee Group,India
Jet Airways,India
JetLite,India
Jindal Steel and Power,India
JSW Ispat Steel,India
JSW Steel Ltd,India
Kerala Electrical and Allied Engineering Company (KEL),India
Jubilant FoodWorks,India
Kalyani Group,India
Karbonn Mobiles,India
Karnataka Bank,India
Karur Vysya Bank,India
Kirloskar Group,India
Kochi Refinery,India
Knowlarity,India
Kokuyo Camlin,India
Konkan Railway Corporation,India
Kotak Mahindra Bank,India
KSK Energy Ventures,India
Kudremukh Iron Ore Company,India
Lakshmi Machine Works,India
Lakshmi Vilas Bank,India
Lanco Infratech,India
Larsen & Toubro,India
Lava International,India
Liberty Shoes,India
Life Insurance Corporation,India
Living Media,India
Mahanagar Telephone Nigam,India
Mahindra & Mahindra,India
Mahindra Satyam,India
MakeMyTrip,India
Mangalore Chemicals & Fertilizers,India
Mangalore Refinery and Petrochemicals Limited,India
Marico,India
Maruti Suzuki,India
Mastek,India
Mazagon Dock Shipbuilders,India
MECON,India
Metro Shoes,India
Microland,India
Micromax Informatics,India
Milky Mist Dairy,India
Mindtree,India
MMTC Ltd,India
Mistral Solutions,India
MOIL,India
Moser Baer,India
Mphasis,India
MRF,India
MS Shoes,India
Mukand,India
Mundra Port,India
Murugappa Group,India
Muthoot Finance,India
The Muthoot Group,India
Myntra,India
National Aluminium Company,India
NBCC,India
National Fertilizers,India
NHPC Limited,India
National Mineral Development Corporation (NMDC),India
NTPC Limited,India
NBC Bearings,India
NDTV,India
Nectar Lifesciences,India
Network 18,India
NIIT,India
Nilkamal Plastics,India
Nirma,India
NLC India Limited,India
Nuclear Power Corporation of India,India
Oil and Natural Gas Corporation,India
Oil India,India
Onida Electronics,India
OnMobile,India
Ordnance Factories Board,India
Organic India,India
Oswald Labs,India
Pantaloons Fashion & Retail,India
Paramount Airways,India
Parle Agro,India
Parle Products,India
Pawan Hans,India
Pentamedia Graphics,India
Persistent Systems,India
Petronet LNG,India
Pidilite Industries,India
Piramal Enterprises,India
POSCO India,India
Power Finance Corporation,India
Power Grid Corporation of India,India
Praj,India
Punj Lloyd,India
Punjab & Sind Bank,India
Punjab National Bank,India
R K Global,India
Rajesh Exports,India
Ramco Systems,India
Ranbaxy Laboratories,India
Rashtriya Chemicals & Fertilizers,India
Rashtriya Ispat Nigam,India
Raymond Group,India
Rediff.com,India
Reliance Capital,India
Reliance Communications,India
Reliance Naval and Engineering Limited,India
Reliance Digital,India
Reliance Entertainment,India
Reliance Fresh,India
Reliance Group,India
Reliance Health,India
Reliance Industries,India
Reliance Infrastructure,India
Reliance Life Insurance,India
Reliance MediaWorks,India
Reliance Petroleum,India
